"Sale_ID","Cust_ID","Prod_ID","Qty_Purchased","Date_Purchased"
"SALE8105","CUST4862","PROD1759","5","2024/8/29"
"SALE8105","CUST5160","PROD1743","1","2024/3/21"
"SALE8105","CUST5105","PROD1738","2","2024/8/17"
"SALE8105","CUST5141","PROD1737","3","2024/2/7"
"SALE8105","CUST4752","PROD1750","1","2024/12/9"
"SALE8105","CUST4805","PROD1737","2","2024/1/15"
"SALE8105","CUST4774","PROD1727","3","2024/9/20"
"SALE8105","CUST4943","PROD1744","1","2024/7/31"
"SALE8105","CUST4989","PROD1768","1","2024/2/8"
"SALE8105","CUST4786","PROD1730","2","2024/1/15"
"SALE8105","CUST5001","PROD1729","3","2024/1/7"
"SALE8105","CUST5152","PROD1725","4","2024/6/20"
"SALE8105","CUST4986","PROD1747","1","2024/4/22"
"SALE8105","CUST4923","PROD1763","2","2024/5/22"
"SALE8105","CUST5083","PROD1766","4","2024/6/22"
"SALE8105","CUST4996","PROD1767","1","2024/4/26"
"SALE8105","CUST4898","PROD1741","3","2024/1/28"
"SALE8105","CUST4812","PROD1744","4","2024/7/16"
"SALE8105","CUST5128","PROD1725","5","2024/10/5"
"SALE8105","CUST4706","PROD1740","5","2024/10/12"
"SALE8105","CUST5087","PROD1769","1","2024/9/12"
"SALE8105","CUST5005","PROD1743","5","2024/12/18"
"SALE8105","CUST4887","PROD1760","5","2024/1/26"
"SALE8105","CUST4685","PROD1760","4","2024/8/4"
"SALE8105","CUST4777","PROD1759","3","2024/11/28"
"SALE8105","CUST4686","PROD1734","3","2024/4/16"
"SALE8105","CUST4736","PROD1768","1","2024/5/25"
"SALE8105","CUST5006","PROD1741","1","2024/6/23"
"SALE8105","CUST5103","PROD1748","5","2024/6/18"
"SALE8105","CUST5100","PROD1725","4","2024/12/18"
"SALE8105","CUST4769","PROD1736","1","2024/9/3"
"SALE8105","CUST5104","PROD1735","3","2024/4/8"
"SALE8105","CUST5143","PROD1754","4","2024/12/18"
"SALE8105","CUST4995","PROD1749","2","2024/5/2"
"SALE8105","CUST5037","PROD1752","3","2024/7/14"
"SALE8105","CUST4781","PROD1725","5","2024/7/3"
"SALE8105","CUST4869","PROD1757","3","2024/3/18"
"SALE8105","CUST4861","PROD1756","1","2024/11/3"
"SALE8105","CUST4871","PROD1725","5","2024/5/13"
"SALE8105","CUST5164","PROD1757","2","2024/10/15"
"SALE8105","CUST5170","PROD1765","3","2024/8/17"
"SALE8105","CUST4807","PROD1733","2","2024/11/26"
"SALE8105","CUST4867","PROD1745","4","2024/9/14"
"SALE8105","CUST5006","PROD1732","2","2024/5/31"
"SALE8105","CUST4913","PROD1745","4","2024/9/15"
"SALE8105","CUST4934","PROD1769","5","2024/5/4"
"SALE8105","CUST5145","PROD1741","5","2024/7/3"
"SALE8105","CUST4977","PROD1738","3","2024/10/6"
"SALE8105","CUST5005","PROD1731","5","2024/6/21"
"SALE8105","CUST4712","PROD1728","5","2024/9/22"
"SALE8105","CUST5060","PROD1740","5","2024/4/9"
"SALE8105","CUST4691","PROD1760","3","2024/2/15"
"SALE8105","CUST5049","PROD1733","1","2024/7/29"
"SALE8105","CUST4852","PROD1760","2","2024/12/5"
"SALE8105","CUST4845","PROD1731","2","2024/1/27"
"SALE8105","CUST5044","PROD1728","5","2024/10/25"
"SALE8105","CUST4974","PROD1738","1","2024/8/27"
"SALE8105","CUST4734","PROD1749","1","2024/6/30"
"SALE8105","CUST4795","PROD1761","3","2024/5/18"
"SALE8105","CUST4754","PROD1738","3","2024/10/11"
"SALE8105","CUST4944","PROD1763","2","2024/5/23"
"SALE8105","CUST4883","PROD1743","3","2024/11/19"
"SALE8105","CUST5006","PROD1769","4","2024/2/23"
"SALE8105","CUST4932","PROD1757","2","2024/1/31"
"SALE8105","CUST5043","PROD1728","2","2024/4/9"
"SALE8105","CUST5151","PROD1769","1","2024/12/7"
"SALE8105","CUST4970","PROD1739","5","2024/6/24"
"SALE8105","CUST5149","PROD1730","4","2024/2/18"
"SALE8105","CUST4698","PROD1762","4","2024/5/4"
"SALE8105","CUST5048","PROD1737","5","2024/7/18"
"SALE8105","CUST4898","PROD1751","2","2024/10/30"
"SALE8105","CUST4854","PROD1760","4","2024/1/9"
"SALE8105","CUST4844","PROD1755","4","2024/5/7"
"SALE8105","CUST4708","PROD1760","3","2024/8/19"
"SALE8105","CUST4704","PROD1727","4","2024/6/29"
"SALE8105","CUST5091","PROD1758","3","2024/9/26"
"SALE8105","CUST5038","PROD1751","2","2024/9/16"
"SALE8105","CUST4698","PROD1748","1","2024/1/13"
"SALE8105","CUST5159","PROD1760","1","2024/3/19"
"SALE8105","CUST4698","PROD1728","2","2024/1/23"
"SALE8105","CUST4745","PROD1751","4","2024/8/14"
"SALE8105","CUST5054","PROD1744","3","2024/11/15"
"SALE8105","CUST4903","PROD1747","2","2024/1/10"
"SALE8105","CUST4800","PROD1763","4","2024/9/16"
"SALE8105","CUST4857","PROD1751","4","2024/2/4"
"SALE8105","CUST4985","PROD1765","2","2024/3/20"
"SALE8105","CUST4909","PROD1754","4","2024/5/9"
"SALE8105","CUST4707","PROD1736","4","2024/12/20"
"SALE8105","CUST4953","PROD1760","2","2024/7/7"
"SALE8105","CUST4686","PROD1740","5","2024/9/12"
"SALE8105","CUST4884","PROD1732","1","2024/2/24"
"SALE8105","CUST4765","PROD1725","4","2024/7/26"
"SALE8105","CUST5096","PROD1737","5","2024/9/5"
"SALE8105","CUST4794","PROD1755","4","2024/11/18"
"SALE8105","CUST4875","PROD1756","1","2024/3/27"
"SALE8105","CUST5136","PROD1728","4","2024/11/1"
"SALE8105","CUST4743","PROD1748","4","2024/5/23"
"SALE8105","CUST4809","PROD1762","4","2024/5/6"
"SALE8105","CUST4698","PROD1735","3","2024/8/28"
"SALE8105","CUST5137","PROD1732","3","2024/11/14"
"SALE8105","CUST4945","PROD1743","4","2024/8/28"
"SALE8105","CUST4982","PROD1744","3","2024/11/30"
"SALE8105","CUST4925","PROD1741","1","2024/7/24"
"SALE8105","CUST4809","PROD1741","2","2024/11/25"
"SALE8105","CUST5169","PROD1725","2","2024/8/12"
"SALE8105","CUST4936","PROD1768","3","2024/2/9"
"SALE8105","CUST4795","PROD1743","2","2024/10/1"
"SALE8105","CUST4957","PROD1752","1","2024/5/31"
"SALE8105","CUST4718","PROD1725","1","2024/1/18"
"SALE8105","CUST4767","PROD1739","1","2024/11/3"
"SALE8105","CUST5093","PROD1760","5","2024/6/24"
"SALE8105","CUST4746","PROD1744","4","2024/9/29"
"SALE8105","CUST5028","PROD1749","1","2024/2/12"
"SALE8105","CUST5050","PROD1735","4","2024/12/29"
"SALE8105","CUST4783","PROD1753","1","2024/6/27"
"SALE8105","CUST4705","PROD1739","1","2024/7/26"
"SALE8105","CUST4940","PROD1737","5","2024/12/7"
"SALE8105","CUST5013","PROD1768","1","2024/9/19"
"SALE8105","CUST5135","PROD1729","3","2024/9/15"
"SALE8105","CUST5176","PROD1769","5","2024/12/26"
"SALE8105","CUST4877","PROD1745","4","2024/2/11"
"SALE8105","CUST4941","PROD1762","3","2024/8/21"
"SALE8105","CUST4927","PROD1725","4","2024/5/13"
"SALE8105","CUST4949","PROD1750","2","2024/4/4"
"SALE8105","CUST4954","PROD1738","2","2024/12/7"
"SALE8105","CUST4993","PROD1735","3","2024/8/22"
"SALE8105","CUST4942","PROD1727","4","2024/10/2"
"SALE8105","CUST5122","PROD1749","3","2024/11/8"
"SALE8105","CUST4923","PROD1735","4","2024/4/26"
"SALE8105","CUST4981","PROD1769","2","2024/11/2"
"SALE8105","CUST4943","PROD1750","4","2024/6/27"
"SALE8105","CUST4893","PROD1768","4","2024/2/26"
"SALE8105","CUST4928","PROD1735","5","2024/2/5"
"SALE8105","CUST4762","PROD1753","5","2024/9/8"
"SALE8105","CUST4690","PROD1759","2","2024/4/3"
"SALE8105","CUST4769","PROD1757","2","2024/9/7"
"SALE8105","CUST4887","PROD1729","2","2024/11/13"
"SALE8105","CUST4844","PROD1752","5","2024/3/24"
"SALE8105","CUST4973","PROD1741","1","2024/10/10"
"SALE8105","CUST4914","PROD1752","4","2024/5/31"
"SALE8105","CUST4817","PROD1738","5","2024/2/16"
"SALE8105","CUST5068","PROD1736","4","2024/9/12"
"SALE8105","CUST4881","PROD1738","4","2024/7/5"
"SALE8105","CUST4849","PROD1727","5","2024/3/11"
"SALE8105","CUST4999","PROD1763","3","2024/11/12"
"SALE8105","CUST4975","PROD1742","2","2024/3/16"
"SALE8105","CUST4712","PROD1730","2","2024/11/28"
"SALE8105","CUST5066","PROD1764","1","2024/2/19"
"SALE8105","CUST4973","PROD1741","3","2024/4/19"
"SALE8105","CUST4991","PROD1746","1","2024/2/15"
"SALE8105","CUST4813","PROD1745","3","2024/2/7"
"SALE8105","CUST5126","PROD1737","1","2024/9/31"
"SALE8105","CUST5143","PROD1761","5","2024/11/3"
"SALE8105","CUST4732","PROD1735","4","2024/2/23"
"SALE8105","CUST4773","PROD1734","4","2024/6/28"
"SALE8105","CUST4780","PROD1742","4","2024/5/20"
"SALE8105","CUST4691","PROD1725","1","2024/12/11"
"SALE8105","CUST4786","PROD1725","1","2024/6/4"
"SALE8105","CUST5014","PROD1738","1","2024/3/1"
"SALE8105","CUST5171","PROD1743","3","2024/1/12"
"SALE8105","CUST5119","PROD1746","3","2024/11/22"
"SALE8105","CUST4742","PROD1763","1","2024/8/25"
"SALE8105","CUST4741","PROD1729","2","2024/11/30"
"SALE8105","CUST4857","PROD1765","2","2024/12/21"
"SALE8105","CUST4708","PROD1753","5","2024/6/23"
"SALE8105","CUST5169","PROD1765","1","2024/2/7"
"SALE8105","CUST4773","PROD1764","2","2024/3/4"
"SALE8105","CUST5115","PROD1734","4","2024/1/19"
"SALE8105","CUST4975","PROD1736","5","2024/10/5"
"SALE8105","CUST5080","PROD1767","3","2024/4/13"
"SALE8105","CUST5028","PROD1749","5","2024/1/1"
"SALE8105","CUST4828","PROD1767","2","2024/6/30"
"SALE8105","CUST4814","PROD1735","4","2024/2/19"
"SALE8105","CUST4817","PROD1749","5","2024/12/31"
"SALE8105","CUST4965","PROD1726","3","2024/7/6"
"SALE8105","CUST4911","PROD1744","1","2024/10/13"
"SALE8105","CUST5158","PROD1763","5","2024/12/18"
"SALE8105","CUST5010","PROD1749","5","2024/11/26"
"SALE8105","CUST4784","PROD1753","1","2024/11/28"
"SALE8105","CUST4836","PROD1742","3","2024/4/16"
"SALE8105","CUST4707","PROD1741","1","2024/9/21"
"SALE8105","CUST4960","PROD1730","2","2024/9/7"
"SALE8105","CUST4937","PROD1726","1","2024/4/24"
"SALE8105","CUST5141","PROD1735","4","2024/4/9"
"SALE8105","CUST4807","PROD1763","4","2024/4/7"
"SALE8105","CUST4890","PROD1747","3","2024/8/17"
